Name,Team,PA,O-Swing% (mlb),Z-Swing% (mlb),Swing% (sc),O-Contact% (mlb),Z-Contact% (mlb),Contact% (sc),Zone% (mlb),Pace,BatSpd,BlastSw%,NameASCII,PlayerId,MLBAMID
"Brayan Rocchio","CLE",383,0.30276565,0.70027624,0.50673281,0.61057692,0.84220907,0.77482517,0.51311127,18.73189824,69.99753654233871,0.1,"Brayan Rocchio",23690,677587
"TJ Friedl","CIN",685,0.1752,0.57451404,0.38537325,0.56621005,0.91102757,0.83677483,0.52633573,18.22256569,69.87742773656215,0.09854423,"TJ Friedl",19522,670770
"Freddie Freeman","LAD",627,0.28429752,0.76109215,0.51889169,0.59011628,0.79932735,0.74110032,0.49202351,18.7377423,69.86002304147465,0.11797235,"Freddie Freeman",5361,518692
"Will Smith","LAD",436,0.19527897,0.56841046,0.38785047,0.60989011,0.86371681,0.80187416,0.51609553,19.09090909,69.79143759645062,0.12962963,"Will Smith",19197,669257
"Jose Altuve","HOU",654,0.38346457,0.62260536,0.49135696,0.72073922,0.89384615,0.81970097,0.45116681,20.13373494,69.71363341968912,0.08290155,"Jose Altuve",5417,514888
"Matt McLain","CIN",577,0.25935374,0.59848485,0.42978003,0.53442623,0.82700422,0.73917323,0.50253807,18.47469066,69.69367711888509,0.08987486,"Matt McLain",29695,680574
"Michael Busch","CHC",592,0.23000898,0.68290669,0.46600688,0.46484375,0.85610641,0.76361958,0.52108434,18.20023283,69.63458089798087,0.13071201,"Michael Busch",26319,683737
"Freddy Fermin","- - -",347,0.30769231,0.72099448,0.52547307,0.565,0.86015326,0.77839335,0.52692868,18.80901077,69.58296875,0.0848,"Freddy Fermin",21840,666023
"Matt Shaw","CHC",437,0.30111524,0.62979189,0.4755814,0.66666667,0.86434783,0.80562347,0.53081395,18.97875688,69.57936143207283,0.08123249,"Matt Shaw",33322,807713
"Gavin Lux","CIN",503,0.19444444,0.64942529,0.42592593,0.55102041,0.8879056,0.81235698,0.50877193,18.47696301,69.5698304948586,0.09768638,"Gavin Lux",19955,666158
"Luis Rengifo","LAA",541,0.30461538,0.71345595,0.51494024,0.62289562,0.8724559,0.80077369,0.51444223,18.72126635,69.53773446151716,0.08527132,"Luis Rengifo",19858,650859
"Brooks Lee","MIN",527,0.31809339,0.68597561,0.49801193,0.53211009,0.88888889,0.77245509,0.48906561,18.59038592,69.51198404566745,0.07494145,"Brooks Lee",31595,686797
"Danny Jansen","- - -",337,0.19571865,0.65367965,0.43132888,0.546875,0.84547461,0.77969019,0.51447661,19.36597428,69.47956345537476,0.08481262,"Danny Jansen",16535,643376
"Taylor Ward","LAA",663,0.20676968,0.53743877,0.37625538,0.51957295,0.87890625,0.78265014,0.5125538,18.35096835,69.47051439606741,0.11348315,"Taylor Ward",17548,621493
"Luis Urías","ATH",330,0.22875817,0.59275362,0.42165899,0.75714286,0.92176039,0.87978142,0.52995392,18.27835052,69.41637880940083,0.08471074,"Luis Urias",16622,649966
"Bryson Stott","PHI",560,0.23261803,0.55495772,0.4026764,0.74907749,0.89889197,0.85800604,0.52757502,19.29461457,69.35848822360954,0.08967083,"Bryson Stott",26294,681082
"Connor Norby","MIA",337,0.32206119,0.76121795,0.54216867,0.48,0.81684211,0.71703704,0.50120482,18.68625277,69.34324919871794,0.08205128,"Connor Norby",29592,681393
"Brendan Donovan","STL",515,0.24458874,0.60960961,0.43421737,0.76106195,0.92118227,0.87784431,0.51950078,18.03418803,69.32450313358517,0.15247253,"Brendan Donovan",24679,680977
"Andrés Giménez","TOR",369,0.34356725,0.66927083,0.51584022,0.69361702,0.85214008,0.8024032,0.52892562,18.09599254,69.28238658116386,0.06125574,"Andres Gimenez",19950,665926
"Daylen Lile","WSN",351,0.26731079,0.75036496,0.52067381,0.62650602,0.90272374,0.83529412,0.5245023,18.156283,69.15122861018364,0.09348915,"Daylen Lile",29995,695734
"Bo Bichette","TOR",628,0.35155593,0.72117962,0.53076256,0.67942584,0.90954151,0.83102041,0.48483536,19.06332139,69.12050988428157,0.12825458,"Bo Bichette",19612,666182
"Mike Tauchman","CHW",385,0.23796791,0.66903073,0.46675031,0.6011236,0.83392226,0.77822581,0.53074028,18.13289037,69.07824427480917,0.09007634,"Mike Tauchman",15274,643565
"José Caballero","- - -",370,0.2751938,0.61103448,0.43762508,0.54929577,0.86004515,0.75914634,0.48365577,19.53859805,69.07288676015901,0.06537102,"Jose Caballero",23401,676609
"Josh Smith","TEX",563,0.25371747,0.62510322,0.45037167,0.61172161,0.89299868,0.8184466,0.52951465,18.37908879,69.0622618140244,0.08425721,"Josh Smith",26396,669701
"Victor Scott II","STL",463,0.22921615,0.70731707,0.47093365,0.4611399,0.84893268,0.75561097,0.50557839,18.48824006,69.02627403846154,0.05384615,"Victor Scott II",31349,687363
"Mookie Betts","LAD",663,0.21630616,0.59856916,0.41178862,0.64230769,0.92961487,0.85587364,0.51138211,18.20958751,69.02410973837209,0.11744186,"Mookie Betts",13611,605141
"Ozzie Albies","ATL",667,0.3346395,0.77797672,0.54157961,0.69320843,0.86536249,0.80864198,0.4667781,19.13855072,68.98156389508928,0.06607143,"Ozzie Albies",16556,645277
"Isaac Paredes","HOU",438,0.21443299,0.60390947,0.40937178,0.73076923,0.89948893,0.85534591,0.50051493,18.52755376,68.96310963901689,0.07987711,"Isaac Paredes",20036,670623
"Jonah Heim","TEX",433,0.29878049,0.68099548,0.49706573,0.66530612,0.82724252,0.78040142,0.51877934,18.98415214,68.9555604757085,0.08906883,"Jonah Heim",16930,641680
"Jose Trevino","CIN",302,0.32206759,0.59285714,0.46472248,0.72839506,0.87951807,0.82995951,0.52681091,17.75464191,68.9226727552817,0.11971831,"Jose Trevino",16725,624431
"Jose Iglesias","SDP",343,0.3353566,0.55274262,0.44817518,0.71493213,0.8956743,0.83061889,0.5189781,18.29101563,68.87950550426136,0.05871212,"Jose Iglesias",10231,578428
"Taylor Walls","TBR",317,0.20508167,0.62880886,0.44540456,0.59292035,0.88105727,0.82363316,0.56716418,19.02513089,68.77934431933198,0.05668016,"Taylor Walls",22458,670764
"Andrew Benintendi","CHW",470,0.28863636,0.72413793,0.50145264,0.6496063,0.82594417,0.77404403,0.48866938,18.36956522,68.74635484927916,0.0982962,"Andrew Benintendi",17901,643217
"Spencer Horwitz","PIT",411,0.23296159,0.67003367,0.4623086,0.64361702,0.89782245,0.83694268,0.52473498,18.34612373,68.51409122242647,0.07352941,"Spencer Horwitz",26477,687462
"Nico Hoerner","CHC",649,0.32296432,0.6320132,0.48546638,0.76487252,0.95953003,0.89812332,0.52581345,17.84255319,68.46316964285714,0.0881459,"Nico Hoerner",21479,663538
"Santiago Espinal","CIN",328,0.23709677,0.64076246,0.44854071,0.71428571,0.92677346,0.87328767,0.52380952,18.29278351,68.46130395459082,0.06387226,"Santiago Espinal",19997,669289
"Marcus Semien","TEX",534,0.2345679,0.75244618,0.48963855,0.52226721,0.88036411,0.79330709,0.49253012,18.61830065,68.43482658959537,0.09364162,"Marcus Semien",12533,543760
"Jake Meyers","HOU",381,0.23410853,0.68633094,0.46865672,0.50331126,0.90775681,0.81050955,0.51865672,18.25,68.38555136494253,0.09578544,"Jake Meyers",20308,676694
"Jung Hoo Lee","SFG",617,0.22402891,0.64389068,0.44619311,0.74596774,0.92009988,0.87893232,0.52913654,18.30364372,68.34337695526894,0.09440176,"Jung Hoo Lee",33824,808982
"Jacob Young","WSN",364,0.22778675,0.5844504,0.42271062,0.65957447,0.91284404,0.85095321,0.54652015,17.71313131,68.34002635924797,0.09349593,"Jacob Young",29931,696285
"Javier Sanoja","MIA",342,0.29893238,0.5945122,0.45812808,0.79761905,0.92820513,0.88888889,0.53858785,18.47362385,68.32903728768578,0.11889597,"Javier Sanoja",28253,691594
"Geraldo Perdomo","ARI",720,0.18745441,0.56295844,0.39175258,0.75486381,0.93376764,0.89473684,0.54406385,18.00176056,68.25662180432646,0.09144543,"Geraldo Perdomo",22799,672695
"Mauricio Dubón","HOU",398,0.34743202,0.71783626,0.53566122,0.72173913,0.91649695,0.85436893,0.50817236,19.35911017,68.19521829782958,0.06752412,"Mauricio Dubon",16530,643289
"Sal Frelick","MIL",594,0.26031164,0.59508197,0.43704024,0.81338028,0.92975207,0.8970297,0.52791,18.45231129,68.18970788043478,0.06521739,"Sal Frelick",29622,686217
"Miguel Rojas","LAD",317,0.26116838,0.62328767,0.44253859,0.61184211,0.92582418,0.83333333,0.50085763,18.99525504,68.14781767265981,0.08675799,"Miguel Rojas",7802,500743
"Nathan Lukes","TOR",438,0.31410256,0.64131669,0.48765804,0.79183673,0.91327434,0.87654321,0.53040337,19.53119869,68.0124646956997,0.09475219,"Nathan Lukes",18123,664770
"Caleb Durbin","MIL",506,0.2396204,0.6040201,0.43688792,0.74752475,0.92845258,0.88293898,0.54134929,18.48192771,67.91519134477825,0.07153076,"Caleb Durbin",29646,702332
"Ernie Clement","TOR",588,0.36259143,0.71553611,0.53500802,0.7204611,0.94036697,0.86413586,0.48850882,18.49606918,67.61823341094296,0.08265425,"Ernie Clement",20352,676391
"Zach McKinstry","DET",511,0.26380368,0.65373699,0.46633907,0.62015504,0.85817656,0.79346681,0.51941032,18.52305665,67.54029361670617,0.06990521,"Zach McKinstry",19392,656716
"Nolan Schanuel","LAA",564,0.23923445,0.64940963,0.44967381,0.692,0.91888112,0.86010363,0.51304753,18.1747449,67.53248431691449,0.08054523,"Nolan Schanuel",33189,694384
"Edgar Quero","CHW",403,0.19007092,0.6833713,0.46367656,0.62686567,0.86166667,0.81880109,0.55464308,17.87819421,67.49907166280865,0.11882716,"Edgar Quero",28022,700337
"Chase Meidroth","CHW",505,0.22337125,0.52385321,0.38259601,0.7962963,0.91768827,0.88437103,0.52989791,17.9210356,67.4344630599711,0.10693642,"Chase Meidroth",31580,805367
"Liam Hicks","MIA",390,0.17558299,0.55321782,0.3741054,0.6484375,0.93064877,0.86782609,0.52569941,18.15248227,67.36711760685884,0.07554672,"Liam Hicks",29844,689414
"Jake Mangum","TBR",428,0.43567251,0.78428762,0.61811847,0.73489933,0.8811545,0.83201804,0.52334495,20.03777336,67.30838734313078,0.07793923,"Jake Mangum",26202,663968
"Xavier Edwards","MIA",619,0.25631431,0.67739204,0.47733333,0.76642336,0.935,0.89199255,0.52488889,19.24002455,66.87790432224025,0.05952381,"Xavier Edwards",22266,669364
"Kyle Farmer","COL",300,0.2989899,0.6369637,0.48501362,0.58783784,0.88601036,0.80337079,0.55040872,18.33166458,66.58197331832628,0.09110169,"Kyle Farmer",14813,571657
"Isiah Kiner-Falefa","- - -",459,0.31739708,0.63211845,0.4868179,0.71966527,0.94594595,0.87783375,0.53832005,18.14408233,66.5668382185219,0.07737226,"Isiah Kiner-Falefa",16512,643396
"Alex Call","- - -",322,0.1722973,0.54269972,0.37632777,0.65686275,0.87817259,0.83266129,0.5508346,18.1353001,66.09560546875,0.09302326,"Alex Call",19296,669743
"Adam Frazier","- - -",459,0.29418472,0.7033195,0.50841934,0.68604651,0.88938053,0.83333333,0.52362846,18.58623188,65.88624797203337,0.03461063,"Adam Frazier",15223,624428
"Wilmer Flores","SFG",463,0.2926045,0.63248731,0.46715328,0.66300366,0.87640449,0.81138393,0.51355579,18.66345492,65.5298871190013,0.04928664,"Wilmer Flores",5827,527038
"Nick Allen","ATL",416,0.24760602,0.66744731,0.47381703,0.59668508,0.87192982,0.80559254,0.53880126,18.59776055,64.52730095852895,0.03599374,"Nick Allen",22277,669397
"Chandler Simpson","TBR",441,0.29658385,0.61123853,0.47757256,0.76963351,0.94371482,0.89779006,0.57519789,19.13912232,64.18700214460785,0.01960784,"Chandler Simpson",31912,802415
"Jacob Wilson","ATH",523,0.32066508,0.66517357,0.49798271,0.86666667,0.93939394,0.91666667,0.51469741,19.0785124,63.87875996879334,0.03744799,"Jacob Wilson",33266,805779
"Steven Kwan","CLE",693,0.22699387,0.58434548,0.41708543,0.78378378,0.96766744,0.92082616,0.53194544,18.07684918,63.68114927279874,0.03773585,"Steven Kwan",24610,680757
"Luis Arraez","SDP",675,0.33916084,0.61829176,0.48885286,0.93298969,0.97188264,0.95936982,0.53627888,18.28724002,62.648734421273446,0.0207305,"Luis Arraez",18568,650333
